Reference,Log2owc,Log2uwc,Log2urob,Log2otp,Log2ea
ENST00000520517,-1.003976793,-0.284660825,0.027895062,-0.602541282,-0.161696695
ENST00000371270,-0.725487131,-0.274987922,-0.028442922,-0.626006311,0.039393983
ENST00000383547,-0.441267665,-0.49048367,-0.139814533,0.140870007,-0.346278393
ENST00000256441,-0.504389478,-0.586385349,-0.149566703,-0.356424752,-0.161256379
ENST00000367027,-0.723467963,-0.721869705,0.128854471,-0.721891731,-0.515489567
ENST00000649620,-4.082399218,-2.738815212,-0.706514827,-2.175563476,-2.562251693
ENST00000371464,1.091707342,1.030721433,1.363553625,1.172050935,1.058158291
ENST00000236850,1.186589911,1.345080539,1.452367075,1.299347065,1.447568854
ENST00000392222,0.862005859,0.887778513,1.018768962,1.082361044,1.334336347
ENST00000372397,0.989366689,1.15242618,1.029089091,0.823785884,1.22006843
ENST00000233143,0.610144494,0.517528337,0.274263193,0.63028265,0.016084649
ENST00000229239,0.702493451,0.564319522,0.437917384,0.219138352,0.241073864
ENST00000402696,0.558795961,0.565561123,0.238169391,0.073368001,0.152448085
ENST00000451270,0.490830123,0.28826423,-0.023870692,0.473739898,0.13580235
ENST00000451311,0.5013104,0.214286829,0.11643695,0.637526062,-0.075278687
ENST00000422447,0.955812162,0.737850257,0.613582049,0.549062774,0.214412702
ENST00000335181,1.052653618,0.857273222,0.390547301,0.553758647,0.541844059
ENST00000276914,0.857031044,0.886110979,0.792853474,0.184390242,-0.126152578
ENST00000258149,0.771144468,0.587670868,-0.046450871,0.26328625,0.426951497
ENST00000296511,0.456469991,0.374338164,0.150006152,0.438984713,0.119140245
ENST00000229270,0.506488986,0.341652046,0.291518308,0.213590226,0.112850806
ENST00000293308,0.589777234,0.905696057,0.054782926,1.020584846,-0.011326397
ENST00000462138,0.789637988,0.632743651,0.065068964,0.556993047,0.434562376
ENST00000368097,0.6471374,0.487691753,0.332241216,0.6312662,0.192915862
ENST00000399075,0.660331259,0.658374885,0.429621861,0.186831634,0.129662845
ENST00000222553,0.661211219,0.648167728,0.247681483,0.308898661,0.351053742
ENST00000317091,0.598704015,0.647286997,0.21001835,0.221599977,0.308228904
ENST00000332598,0.657257921,0.464847281,0.253345782,0.696180494,0.206293388
ENST00000260227,0.50182552,0.142846636,-0.049618432,0.450481438,0.190455185
ENST00000293831,0.45533007,0.442476226,0.174840676,0.262906544,0.334141638
ENST00000358415,0.603434167,0.45132301,0.076806403,0.194647704,0.514953
ENST00000368533,0.765195422,0.639119916,0.234372079,0.588243981,0.058903692
ENST00000215909,0.865452551,0.940335795,0.572344546,0.569142356,0.155981927
ENST00000438171,0.782199656,0.701559065,0.401544919,0.224694641,0.276812089
ENST00000272227,0.760817082,0.744279515,0.299153923,0.779645593,0.277480158
ENST00000644934,0.893230969,0.77554339,0.333325437,0.062108209,0.616284867
ENST00000456012,0.633074553,0.607358925,0.654751416,0.648938012,0.005474379
ENST00000286713,0.76789182,0.69901687,0.080081535,0.473882921,0.535862981
ENST00000353555,0.755271329,1.104740618,0.74224329,1.067890561,0.086458822
ENST00000302068,-0.325024511,-0.19175406,-0.064573485,-0.137633022,-0.233965241
ENST00000409733,-0.208296428,-0.165010501,-0.106808253,-0.011501964,-0.23355948
ENST00000361575,-0.258258487,-0.335265828,-0.142271511,-0.1229259,-0.122082914
ENST00000359681,-0.249325065,-0.236309594,-0.098030652,-0.281411738,-0.264997954
ENST00000319248,-0.338650796,-0.340334619,-0.221822944,-0.083112793,-0.082148155
